	id	num_mappings	num_members	members	members_labels	max_confidence	min_confidence	avg_confidence	sources	num_sources	AGRO	agrovoc	AGRO_count	AGRO_conflated	agrovoc_count	agrovoc_conflated	is_conflated	is_all_conflated	total_conflated	proportion_conflated	conflation_score	members_count	min_count_by_source	max_count_by_source	avg_count_by_source	harmonic_mean_count_by_source
0	1001ea7e5d9ea0b6367846074b6d1043	2	3	AGRO:00000079|agrovoc:c_2810|AGRO:00000076	animal manure|farmyard manure	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000076|AGRO:00000079	agrovoc:c_2810	2	True	1	False	True	False	1	0.5	0.33333333333333326	3	1	2	1.5	1.3333333333333333
1	01d31c124e44848432214ac2b8eda490	2	3	AGRO:00000396|agrovoc:c_27912|AGRO:00000413	drilling|seed drilling|seed drill	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000396|AGRO:00000413	agrovoc:c_27912	2	True	1	False	True	False	1	0.5	0.33333333333333326	3	1	2	1.5	1.3333333333333333
2	6225717e21c40e3736c4a0658c2278cc	4	3	AGRO:00000088|agrovoc:c_5336|AGRO:00000085	oilseed cakes|oil cake|oil meal	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000085|AGRO:00000088	agrovoc:c_5336	2	True	1	False	True	False	1	0.5	0.33333333333333326	3	1	2	1.5	1.3333333333333333
3	e1179a012226876dceaa03da7021ddd9	1	2	agrovoc:c_7771|AGRO:01000015	tillage	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:01000015	agrovoc:c_7771	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
4	50361b6da4b799a491b82c2dd4948930	1	2	AGRO:00020004|agrovoc:c_36704	deep tillage	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00020004	agrovoc:c_36704	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
5	5f143495f4c86419a53cfccd2a0fc480	1	2	AGRO:00000031|agrovoc:c_1516cbf3	strip-till|strip tillage	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000031	agrovoc:c_1516cbf3	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
6	c30f9dc94ec0c7202119b5eae2ba87aa	1	2	agrovoc:c_25674|AGRO:00000463	windrowing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000463	agrovoc:c_25674	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
7	b29d8c99256dd74d0cf5e01729e3217b	1	2	agrovoc:c_24947|AGRO:00000204	heat treatment	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000204	agrovoc:c_24947	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
8	6339bbcc67bde9784322d11860601959	1	2	agrovoc:c_7381|AGRO:00000210	steaming|steam treatment	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000210	agrovoc:c_7381	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
9	f325d9948af7af1f94586c71527925d2	1	2	agrovoc:c_6663|AGRO:00000430	rotational grazing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000430	agrovoc:c_6663	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
10	3fba3e6b2a45d35353067d3da6111529	1	2	AGRO:00000431|agrovoc:c_36542	continuous grazing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000431	agrovoc:c_36542	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
11	0c03fbb5e3db52c5b34301ca18d0c8e2	1	2	AGRO:00000432|agrovoc:c_7456	strip grazing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000432	agrovoc:c_7456	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
12	adcb1a9dd0e96c361d0bc225be0006e4	1	2	agrovoc:c_5497|AGRO:00000434	controlled grazing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000434	agrovoc:c_5497	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
13	a434e6f795e9b2672d7b9f61be6b2329	1	2	AGRO:00000322|agrovoc:c_27921	treatment|treatment date	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000322	agrovoc:c_27921	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
14	448dc01f12bf06fd51982aeffd679918	1	2	AGRO:00000481|agrovoc:c_4915	monoculture	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000481	agrovoc:c_4915	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
15	91eea01b5c5bd8945da19d357a46dcd5	1	2	AGRO:00000369|agrovoc:c_4126	experiment|laboratory animals	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000369	agrovoc:c_4126	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
16	e12e5174d7c497c0ab4133c60fd3dd97	1	2	AGRO:00000115|agrovoc:c_6462	ratooning|ratoon	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000115	agrovoc:c_6462	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
17	2bec56bd83657b72a5cc2a06f938c6ee	1	2	AGRO:00000078|agrovoc:c_4373	liquid manures|liquid manure	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000078	agrovoc:c_4373	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
18	6eb598458114128ff6356d10ee876097	1	2	AGRO:00000080|agrovoc:c_434	poultry litter|litter for animals	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000080	agrovoc:c_434	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
19	37299f4dfaf463f0e45305821c8d76a0	1	2	AGRO:00000081|agrovoc:c_27896	fish manure	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000081	agrovoc:c_27896	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
20	1f870616dc5a5090a2492ddd321d04a9	1	2	AGRO:00000089|agrovoc:c_35678	cottonseed meal	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000089	agrovoc:c_35678	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
21	78af0068f14238733ce29c5b33dee156	1	2	agrovoc:c_13452|AGRO:00000093	plastic mulch|plastic mulches	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000093	agrovoc:c_13452	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
22	6a075c8fb128ccf6698c0f1f136d0508	1	2	AGRO:00000094|agrovoc:c_33499	geotextiles|landscape fabric	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000094	agrovoc:c_33499	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
23	9a7caeb58e1c7a355eba2e81b63f8381	1	2	agrovoc:c_7442|AGRO:00000098	straw mulches|straw mulch	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000098	agrovoc:c_7442	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
24	a5ae3a2d502122da1d3921aa61f6ad25	1	2	AGRO:00002009|agrovoc:c_16650	stubble	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002009	agrovoc:c_16650	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
25	f538b15874bdb214af2e665bea382a5c	1	2	AGRO:00002010|agrovoc:c_a93c44a4	husk|Physalis philadelphica	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002010	agrovoc:c_a93c44a4	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
26	93367fa1e680a16640045482657dad30	1	2	AGRO:00002030|agrovoc:c_26201	roller conveyers|roller	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002030	agrovoc:c_26201	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
27	ed3ef64e6d901356c515ba885ef7f0c6	1	2	agrovoc:c_25990|AGRO:00000139	manure spreader|manure spreaders	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000139	agrovoc:c_25990	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
28	a19ecb73f06d74a7135eac6be1c9433e	2	2	AGRO:00000398|agrovoc:c_3642	hoe|hoeing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000398	agrovoc:c_3642	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
29	0fab0ab1399fbeae11aa56a4420fc6c7	2	2	agrovoc:c_331154|AGRO:00000453	sickle|green manure|Senna tora	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000453	agrovoc:c_331154	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
30	3f56c5496a68893634d39983ee1780fb	1	2	agrovoc:c_7739|AGRO:00000455	threshing|flail	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000455	agrovoc:c_7739	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
31	35721b5c1b51b8daf069bb3615e7676d	1	2	AGRO:00000456|agrovoc:c_0a9fbc47	scythes|scythe	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000456	agrovoc:c_0a9fbc47	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
32	685acb2ca25756f745be1a1cd3925b3e	1	2	AGRO:00000472|agrovoc:c_7649	tedder|tedders	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000472	agrovoc:c_7649	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
33	c58163749cd5d71947b53f9cb18661c0	1	2	agrovoc:c_1775|AGRO:00000473	combine harvester|combine harvesters	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000473	agrovoc:c_1775	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
34	b1718a65f9a3778bba0fd3b7911f767b	1	2	agrovoc:c_793|AGRO:00002027	baler|balers	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002027	agrovoc:c_793	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
35	8d97ebc3078a5143a856ed2a67c9ea0b	1	2	AGRO:00000129|agrovoc:c_25695	mouldboard ploughs|mouldboard plough	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000129	agrovoc:c_25695	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
36	d5f10ca8a32bdfb0e6e420654d9001d4	1	2	AGRO:00000130|agrovoc:c_25808	subsoilers|subsoiler	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000130	agrovoc:c_25808	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
37	ee4c10ed974e85a7116a76ef9bf4406c	1	2	agrovoc:c_99dd11f2|AGRO:00000131	chisel ploughs|chisel plough	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000131	agrovoc:c_99dd11f2	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
38	0b9f7ebb53d9b7a4f7f7156383b21230	1	2	AGRO:00000393|agrovoc:c_2019	cultivators|cultivator	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000393	agrovoc:c_2019	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
39	03ed7ebf4bf4e45a9e3e54a28070eed8	1	2	AGRO:00000124|agrovoc:c_7846	tractor|tractor cabs	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000124	agrovoc:c_7846	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
40	9479af002cb8241bf0125c6c101db46d	1	2	agrovoc:c_3955|AGRO:00000241	irrigation equipment	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000241	agrovoc:c_3955	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
41	3f42fdd436a2dfe660fd65d48ee47c42	1	2	AGRO:00002008|agrovoc:c_25726	conditioner mowers|mower	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002008	agrovoc:c_25726	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
42	8aa8e4ed643639ac4e172f41eaa3d433	2	2	agrovoc:c_3375|AGRO:00000075	green manure|green manures	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000075	agrovoc:c_3375	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
43	2faca0baa94e467c093628d08c2599a1	2	2	AGRO:00000086|agrovoc:c_966	blood meal	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000086	agrovoc:c_966	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
44	8236e8a80e60b372ff733b74d081ed75	2	2	AGRO:00020001|agrovoc:c_24975	biofertilizer|biofertilizers	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00020001	agrovoc:c_24975	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
45	3a932987c28ad6e5626fa21581d415ca	1	2	AGRO:00002046|agrovoc:c_5250	NPK fertilizers|NPK fertilizer	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002046	agrovoc:c_5250	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
46	bf2e77990f1a87f1ea556d8512fd728d	1	2	agrovoc:c_5195|AGRO:00020007	nitrogen fertilizers|nitrogen fertilizer	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00020007	agrovoc:c_5195	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
47	a8bcdd0baea71560d1dbee05dd5211fe	1	2	agrovoc:c_5800|AGRO:00020008	phosphorus fertilizer|phosphate fertilizers	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00020008	agrovoc:c_5800	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
48	922d39e084ffa487097cbb6c53d5a5c9	1	2	agrovoc:c_6138|AGRO:00020009	potash fertilizers|potassium fertilizer	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00020009	agrovoc:c_6138	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
49	109dc3832fafce789ffb4dc3b71dd21b	1	2	agrovoc:c_4592|AGRO:00002039	organic fertilizer|organic fertilizers	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002039	agrovoc:c_4592	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
50	ca26097616c6aca0074283e5d4352faa	1	2	agrovoc:c_27870|AGRO:00002040	inorganic fertilizers|inorganic fertilizer	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002040	agrovoc:c_27870	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
51	9917cfd565fa45edbc413c7c68830491	1	2	agrovoc:c_2925|AGRO:00000083	fish meal	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000083	agrovoc:c_2925	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
52	1032313f000ce956fe22ec331a72bfd0	1	2	agrovoc:c_4781|AGRO:00000357	weather station|meteorological stations	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000357	agrovoc:c_4781	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
53	d9d56e5845f89f8a2b54226dfadbc67c	1	2	AGRO:00000009|agrovoc:c_330794	irrigation sources|irrigation source	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000009	agrovoc:c_330794	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
54	fea103683512a14528e6ea0c97b539c6	1	2	AGRO:00002042|agrovoc:c_24528	vermicomposting|vermicompost	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00002042	agrovoc:c_24528	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
55	025f9285ed27112b7eb2a1dd748d411d	1	2	AGRO:00000092|agrovoc:c_b219433a	stubble tillage|mulch	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000092	agrovoc:c_b219433a	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
56	82885f92694fdc78673874ff524dd9e6	1	2	AGRO:00000197|agrovoc:c_200	liming materials|liming material	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000197	agrovoc:c_200	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
57	b90f15d3e8d8ffc4fd4a2a0de8a621a8	1	2	agrovoc:c_10457|AGRO:00000116	draft animal|draught animals	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000116	agrovoc:c_10457	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
58	71b12c28093fae9dd0a8d5a686c856b4	1	2	agrovoc:c_1972|AGRO:00000325	crops|crop	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000325	agrovoc:c_1972	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
59	46c73e8d61eb78f299851aadc724b299	1	2	agrovoc:c_16118|AGRO:00000154	crop residue|crop residues	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000154	agrovoc:c_16118	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
60	d6f70b97cf1babe00526659eef5d841d	1	2	agrovoc:c_155|AGRO:00000037	aerial application	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000037	agrovoc:c_155	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
61	97893161413ec7f1e661956d26df520d	1	2	agrovoc:c_2151|AGRO:00000046	deep placement	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000046	agrovoc:c_2151	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
62	25eb7a3a8ee6af3fb5a8d79bac582b4b	1	2	AGRO:00000047|agrovoc:c_15970	fertigation	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000047	agrovoc:c_15970	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
63	817e780a61033fbd02127edc4dc30dc7	1	2	agrovoc:c_3008|AGRO:00000048	foliar application	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000048	agrovoc:c_3008	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
64	62805e1ce6bdf1c79f78ae3104066c25	1	2	AGRO:00000051|agrovoc:c_26820	seed dressing	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000051	agrovoc:c_26820	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
65	fd51df44b8f372d6cf51b016cc7dcb64	1	2	agrovoc:c_7175|AGRO:00000052	soil injection	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000052	agrovoc:c_7175	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
66	e59f7d4d75e76cc9b477086d27ae96ca	1	2	agrovoc:c_7885|AGRO:00000053	tree injection	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000053	agrovoc:c_7885	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
67	cccaf0a70a6a389e409236943f72a412	1	2	AGRO:00000412|agrovoc:c_25720	dibbling	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000412	agrovoc:c_25720	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
68	1e7ac883487933a6b2bea9e16aa25510	1	2	agrovoc:c_722|AGRO:00000409	automatic irrigation	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000409	agrovoc:c_722	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
69	c865126d93953bbf01c00bd20c812651	1	2	AGRO:00000272|agrovoc:c_25021	kjeldahl method|Kjeldahl method	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000272	agrovoc:c_25021	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
70	0f9f8fdf1d4d0afb5ff1ebcca201b63d	1	2	agrovoc:c_1410249722990|AGRO:00000329	split plot design	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000329	agrovoc:c_1410249722990	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
71	482b495aacae1fde2065513b66d909e4	1	2	agrovoc:c_542|AGRO:00000036	application method|application methods	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000036	agrovoc:c_542	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
72	c486edc1722e48038774984cf78746e6	1	2	agrovoc:c_3957|AGRO:00000054	irrigation methods|irrigation method	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000054	agrovoc:c_3957	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
73	8bc7579a6a84baf5edbc9f6dceff6db6	1	2	AGRO:00000202|agrovoc:c_6944	seeding rate|sowing rates	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000202	agrovoc:c_6944	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
74	630925634b4357c5a52680091eb8d362	1	2	AGRO:00000328|agrovoc:c_1832474d	slope orientation|exposition	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000328	agrovoc:c_1832474d	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
75	f6b88d154112647cde9e5c9af75fd830	1	2	AGRO:00000299|agrovoc:c_2794	farm area	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00000299	agrovoc:c_2794	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
76	cf19cc205618cd1e51f9d76a81eadff7	1	2	agrovoc:c_d349db98|AGRO:00010002	ploughing depth|tillage depth	0.9	0.9	0.9	AGRO|agrovoc	2	AGRO:00010002	agrovoc:c_d349db98	1	False	1	False	False	False	0	0.0	0.0	2	1	1	1.0	1.0
